tnydp_version,subcategory,code,project_name,country,promoter,maturity_status,new_repurposed,section_name,section_length_km,nominal_diameter_mm,max_operating_pressure_bar,hydrogen_import_capacity_gwh_per_day,importing_hydrogen_carrier_raw,conversion_efficiency_pct,storage_capacity_gwh,commissioning_year,sourcing_country,source_sheet,capacity_semantics,model_use,qa_flag
2026,H2L,H2L-N-716,Cypriot Renewable Hydrogen Export Terminal (H2L Cyprus),Cyprus,Eunice Laboratories Single Member S.A.,Less-Advanced,,,,,,,,,,,Electrolysis;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-741,Bordeaux Port H2Hub - Ammonia,France,Grand Port Maritime de Bordeaux,Less-Advanced,Repurposed,,,,,15.0,Ammonia,85.0,142.0,2034.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-754,ACE Terminal,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,18.25,Ammonia,97.7,312.0,2032.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-754,ACE Terminal,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,36.49,Ammonia,97.7,624.0,2034.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-754,ACE Terminal,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,63.86,Ammonia,97.7,936.0,2037.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-754,ACE Terminal,Netherlands,N.V. NEDERLANDSE GASUNIE,Less-Advanced,New,,,,,91.23,Ammonia,97.7,1248.0,2039.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-820,Dunkerque New Molecules development,France,Fluxys NV/SA,Less-Advanced,New,,,,,48.0,Ammonia,,,,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-820,Dunkerque New Molecules development,France,Fluxys NV/SA,Less-Advanced,New,,,,,48.0,Ammonia,,,,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-820,Dunkerque New Molecules development,France,Fluxys NV/SA,Less-Advanced,New,,,,,48.0,Ammonia,,,,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-820,Dunkerque New Molecules development,France,Fluxys NV/SA,Less-Advanced,New,,,,,48.0,Ammonia,,,,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-820,Dunkerque New Molecules development,France,Fluxys NV/SA,Less-Advanced,New,,,,,48.0,Ammonia,90.0,1110.0,2035.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-863,Blue Danube,Germany,Hydrogenious LOHC Infra Bavaria GmbH (representative: Hydrogenious LOHC Tec,Less-Advanced,New,,,,,0.16,Other LOHC,,3.96,2028.0,Germany,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-932,Ionian Energy Terminal,Greece,Natural Gas Submarine Interconnector Greece-Italy Poseidon S.A.,Less-Advanced,New,,,,,50.0,Ammonia,90.0,500.0,2034.0,"LNG or LH2 or other liquid carriers; MENA area (Egypt, Saudi, Israel, Morocco, UAE) and India",H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1100,Amplifhy Antwerp,Belgium,VTTI Terminal Support Services (“VTTI”),Less-Advanced,New,,,,,24.92,Ammonia,89.0,420.0,2029.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1100,Amplifhy Antwerp,Belgium,VTTI Terminal Support Services (“VTTI”),Less-Advanced,New,,,,,45.68,Ammonia,89.0,367.5,2033.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1159,Wilhelmshaven NH3 Terminal,Germany,Nord-West Oelleitung GmbH (NWO),Less-Advanced,New,,,,,15.1,Ammonia,75.0,420.0,2030.0,LNG or LH2 or other liquid carriers; The H2L facilities enables NH3 import and cracking towards H2 for the H2 core grid.,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1224,MEDHYTERRA,France,Elengy,Less-Advanced,,,,,,,,,,,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1314,North Adriatic H2 Terminal,Italy,Edison Spa,Less-Advanced,New,,,,,27.5,Ammonia,90.0,300.0,2034.0,"MENA countries, such as Oman, Egypt, Saudi Arabia, Morocco, UAE, etc. and India",H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1314,North Adriatic H2 Terminal,Italy,Edison Spa,Less-Advanced,New,,,,,27.5,Ammonia,90.0,300.0,2036.0,"MENA countries, such as Oman, Egypt, Saudi Arabia, Morocco, UAE, etc. and India",H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1325,Zeebrugge New Molecules development,Belgium,Fluxys NV/SA,Less-Advanced,New,,,,,48.0,Ammonia,,,,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1325,Zeebrugge New Molecules development,Belgium,Fluxys NV/SA,Less-Advanced,New,,,,,48.0,Ammonia,,,,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1325,Zeebrugge New Molecules development,Belgium,Fluxys NV/SA,Less-Advanced,New,,,,,48.0,Ammonia,90.0,1110.0,2035.0,LNG or LH2 or other liquid carriers;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1370,Greek H2 Terminal,Greece,DESFA S.A.,Less-Advanced,New,,,,,95.9,liquified Hydrogen,99.0,330.0,2040.0,LNG or LH2 or other liquid carriers; Electrolysis;,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1383,SE MED Renewable Hydrogen Reception Facility (H2L SE MED),Greece,"Eunice Laboratories, Single Member Société Anonyme",Less-Advanced,New,,,,,5.1,liquified Hydrogen,99.0,0.0,2032.0,,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1386,MB New Energy Gate Duisburg I,Germany,MB Energy Holding GmbH & Co. KG (MBE),Less-Advanced,New,,,,,9.0,Ammonia,78.0,0.0,2032.0,LNG or LH2 or other liquid carriers; Cracking of ammonia imported from sources worldwide,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1387,MB New Energy Gate Duisburg II,Germany,MB Energy Holding GmbH & Co. KG (MBE),Less-Advanced,New,,,,,1.6,liquified Hydrogen,100.0,0.0,2033.0,LNG or LH2 or other liquid carriers; from sources worldwide,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2L,H2L-N-1397,MB New Energy Gate Hamburg II,Germany,MB Energy Holding GmbH & Co. KG (MBE),Less-Advanced,New,,,,,8.0,liquified Hydrogen,100.0,0.0,2033.0,LNG or LH2 or other liquid carriers; sources worldwide,H2L,promoter-submitted preliminary planning assumption,upper_bound_or_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Irsching-Kösching,9.8,500.0,60.0,,,,,2026.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Lengthal-Burgkirchen,8.9,300.0,70.0,,,,,2026.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Haiming-Burghausen/Lengthal,3.7,700.0,95.0,,,,,2026.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,New,Forchheim-Irsching,12.0,800.0,100.0,,,,,2027.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Münchsmünster-Neustadt an der Donau,4.4,300.0,70.0,,,,,2027.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Münchsmünster-Forchheim,8.4,700.0,67.5,,,,,2027.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Mailing-Kötz,105.0,450.0,60.0,,,,,2030.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Kösching-Mailing,5.3,500.0,60.0,,,,,2030.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Finsing-Münchsmünster,65.1,700.0,67.5,,,,,2030.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Bierwang-Finsing,47.3,500.0,70.0,,,,,2030.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Gröben-Bierwang,2.4,500.0,80.0,,,,,2030.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Burgkirchen-Gröben,22.5,250.0,40.0,,,,,2030.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
