budget,selection,worst_unmet_pct,central_unmet_pct,sum_unmet_gwh
1,LH2_Tk_BE,70.25549225755914,24.983664870048873,346168.5703501264
1,LH2_Tk_DE,84.35027585895185,78.80478547722971,695797.5243731361
1,LH2_Tk_DEbp,95.3805380318239,94.96274609148055,826978.5243731361
1,LH2_Tk_FRSW,100.0,100.0,883918.5243731361
1,LH2_Tk_FRW,100.0,100.0,883918.5243731361
1,LH2_Tk_FRn,100.0,81.40090864546666,778798.5243731361
1,LH2_Tk_ITa,100.0,100.0,883918.5243731361
1,LH2_Tk_NL,54.45528999977015,13.74671384335161,223191.36583157384
1,LH2_Tk_PLN,100.0,93.14158506301582,845155.5243731361
2,LH2_Tk_BE;LH2_Tk_DE,54.60576811651099,7.912686524752532,210199.44562224316
2,LH2_Tk_BE;LH2_Tk_DEbp,63.73477386545574,19.946410961529402,298718.5703501264
2,LH2_Tk_BE;LH2_Tk_FRSW,70.25549225755914,24.983664870048873,346168.5703501264
2,LH2_Tk_BE;LH2_Tk_FRW,70.25549225755914,24.983664870048873,346168.5703501264
2,LH2_Tk_BE;LH2_Tk_FRn,70.25549225755914,7.9126865247525435,282991.1910086437
2,LH2_Tk_BE;LH2_Tk_ITa,70.25549225755914,24.983664870048873,346168.5703501264
2,LH2_Tk_BE;LH2_Tk_NL,24.71078225732929,7.912686524752521,100285.75670157745
2,LH2_Tk_BE;LH2_Tk_PLN,70.25549225755914,18.12524993306467,313866.0703501264
2,LH2_Tk_DE;LH2_Tk_DEbp,77.82955746684847,73.76753156871028,638857.5243731361
2,LH2_Tk_DE;LH2_Tk_FRSW,84.35027585895185,78.80478547722971,695797.5243731361
2,LH2_Tk_DE;LH2_Tk_FRW,84.35027585895185,78.80478547722971,695797.5243731361
2,LH2_Tk_DE;LH2_Tk_FRn,84.35027585895185,60.205694122696386,590677.5243731361
2,LH2_Tk_DE;LH2_Tk_ITa,84.35027585895185,78.80478547722971,695797.5243731361
2,LH2_Tk_DE;LH2_Tk_NL,38.805565858722005,7.912686524752499,123435.09412664967
2,LH2_Tk_DE;LH2_Tk_PLN,84.35027585895185,71.94637054024555,657034.5243731361
2,LH2_Tk_DEbp;LH2_Tk_FRSW,95.3805380318239,94.96274609148055,826978.5243731361
2,LH2_Tk_DEbp;LH2_Tk_FRW,95.3805380318239,94.96274609148055,826978.5243731361
2,LH2_Tk_DEbp;LH2_Tk_FRn,93.47928160789661,76.36365473694721,721858.5243731361
2,LH2_Tk_DEbp;LH2_Tk_ITa,95.3805380318239,94.96274609148055,826978.5243731361
2,LH2_Tk_DEbp;LH2_Tk_NL,47.93457160766674,8.709459934832198,185231.36583157384
2,LH2_Tk_DEbp;LH2_Tk_PLN,95.3805380318239,88.10433115449638,788215.5243731361
2,LH2_Tk_FRSW;LH2_Tk_FRW,100.0,100.0,883918.5243731361
2,LH2_Tk_FRSW;LH2_Tk_FRn,100.0,81.40090864546666,778798.5243731361
2,LH2_Tk_FRSW;LH2_Tk_ITa,100.0,100.0,883918.5243731361
2,LH2_Tk_FRSW;LH2_Tk_NL,54.45528999977015,13.74671384335161,223191.36583157384
2,LH2_Tk_FRSW;LH2_Tk_PLN,100.0,93.14158506301582,845155.5243731361
2,LH2_Tk_FRW;LH2_Tk_FRn,100.0,81.40090864546666,778798.5243731361
2,LH2_Tk_FRW;LH2_Tk_ITa,100.0,100.0,883918.5243731361
2,LH2_Tk_FRW;LH2_Tk_NL,54.45528999977015,13.74671384335161,223191.36583157384
2,LH2_Tk_FRW;LH2_Tk_PLN,100.0,93.14158506301582,845155.5243731361
2,LH2_Tk_FRn;LH2_Tk_ITa,100.0,81.40090864546666,778798.5243731361
2,LH2_Tk_FRn;LH2_Tk_NL,54.45528999977015,7.912686524752499,169314.95101413678
2,LH2_Tk_FRn;LH2_Tk_PLN,100.0,74.5424937084825,740035.5243731361
2,LH2_Tk_ITa;LH2_Tk_NL,54.45528999977015,13.74671384335161,223191.36583157384
2,LH2_Tk_ITa;LH2_Tk_PLN,100.0,93.14158506301582,845155.5243731361
2,LH2_Tk_NL;LH2_Tk_PLN,54.45528999977015,7.912686524752532,204774.8200184208
3,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_DEbp,48.085049724407604,7.912686524752532,177769.07661795922
3,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRSW,54.60576811651099,7.912686524752532,210199.44562224316
3,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRW,54.60576811651099,7.912686524752532,210199.44562224316
3,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_FRn,54.60576811651099,7.912686524752521,206239.0766179592
3,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_ITa,54.60576811651099,7.912686524752532,210199.44562224316
3,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_NL,14.473418510995506,7.912686524752532,92836.2261352552
3,LH2_Tk_BE;LH2_Tk_DE;LH2_Tk_PLN,54.60576811651099,7.912686524752521,186857.5766179592
3,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRSW,63.73477386545574,19.946410961529402,298718.5703501264
3,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRW,63.73477386545574,19.946410961529402,298718.5703501264
3,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_FRn,63.73477386545574,7.912686524752532,247757.9456222432
3,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_ITa,63.73477386545574,19.946410961529402,298718.5703501264
3,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_NL,18.19006386522588,7.912686524752521,95540.75670157744
3,LH2_Tk_BE;LH2_Tk_DEbp;LH2_Tk_PLN,63.73477386545574,13.087996024545234,266416.07035012636
3,LH2_Tk_BE;LH2_Tk_FRSW;LH2_Tk_FRW,70.25549225755914,24.983664870048873,346168.5703501264
3,LH2_Tk_BE;LH2_Tk_FRSW;LH2_Tk_FRn,70.25549225755914,7.9126865247525435,282991.1910086437
3,LH2_Tk_BE;LH2_Tk_FRSW;LH2_Tk_ITa,70.25549225755914,24.983664870048873,346168.5703501264
3,LH2_Tk_BE;LH2_Tk_FRSW;LH2_Tk_NL,24.71078225732929,7.912686524752521,100285.75670157745
3,LH2_Tk_BE;LH2_Tk_FRSW;LH2_Tk_PLN,70.25549225755914,18.12524993306467,313866.0703501264
3,LH2_Tk_BE;LH2_Tk_FRW;LH2_Tk_FRn,70.25549225755914,7.9126865247525435,282991.1910086437
3,LH2_Tk_BE;LH2_Tk_FRW;LH2_Tk_ITa,70.25549225755914,24.983664870048873,346168.5703501264
3,LH2_Tk_BE;LH2_Tk_FRW;LH2_Tk_NL,24.71078225732929,7.912686524752521,100285.75670157745
3,LH2_Tk_BE;LH2_Tk_FRW;LH2_Tk_PLN,70.25549225755914,18.12524993306467,313866.0703501264
3,LH2_Tk_BE;LH2_Tk_FRn;LH2_Tk_ITa,70.25549225755914,7.9126865247525435,282991.1910086437
3,LH2_Tk_BE;LH2_Tk_FRn;LH2_Tk_NL,24.71078225732929,7.912686524752521,100285.75670157745
3,LH2_Tk_BE;LH2_Tk_FRn;LH2_Tk_PLN,70.25549225755914,7.912686524752499,257203.82200435968
3,LH2_Tk_BE;LH2_Tk_ITa;LH2_Tk_NL,24.71078225732929,7.912686524752521,100285.75670157745
3,LH2_Tk_BE;LH2_Tk_ITa;LH2_Tk_PLN,70.25549225755914,18.12524993306467,313866.0703501264
3,LH2_Tk_BE;LH2_Tk_NL;LH2_Tk_PLN,24.71078225732929,7.912686524752499,100285.75670157744
3,LH2_Tk_DE;LH2_Tk_DEbp;LH2_Tk_FRSW,77.82955746684847,73.76753156871028,638857.5243731361
3,LH2_Tk_DE;LH2_Tk_DEbp;LH2_Tk_FRW,77.82955746684847,73.76753156871028,638857.5243731361
3,LH2_Tk_DE;LH2_Tk_DEbp;LH2_Tk_FRn,77.82955746684847,55.168440214176925,533737.5243731361
3,LH2_Tk_DE;LH2_Tk_DEbp;LH2_Tk_ITa,77.82955746684847,73.76753156871028,638857.5243731361
3,LH2_Tk_DE;LH2_Tk_DEbp;LH2_Tk_NL,32.284847466618615,7.912686524752521,107775.14976882271
3,LH2_Tk_DE;LH2_Tk_DEbp;LH2_Tk_PLN,77.82955746684847,66.90911663172609,600094.5243731361
3,LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRW,84.35027585895185,78.80478547722971,695797.5243731361
3,LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_FRn,84.35027585895185,60.205694122696386,590677.5243731361
3,LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_ITa,84.35027585895185,78.80478547722971,695797.5243731361
3,LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_NL,38.805565858722005,7.912686524752499,123435.09412664967
3,LH2_Tk_DE;LH2_Tk_FRSW;LH2_Tk_PLN,84.35027585895185,71.94637054024555,657034.5243731361
3,LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_FRn,84.35027585895185,60.205694122696386,590677.5243731361
3,LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_ITa,84.35027585895185,78.80478547722971,695797.5243731361
3,LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_NL,38.805565858722005,7.912686524752499,123435.09412664967
3,LH2_Tk_DE;LH2_Tk_FRW;LH2_Tk_PLN,84.35027585895185,71.94637054024555,657034.5243731361
3,LH2_Tk_DE;LH2_Tk_FRn;LH2_Tk_ITa,84.35027585895185,60.205694122696386,590677.5243731361
3,LH2_Tk_DE;LH2_Tk_FRn;LH2_Tk_NL,38.805565858722005,7.912686524752499,117839.84874024916
3,LH2_Tk_DE;LH2_Tk_FRn;LH2_Tk_PLN,84.35027585895185,53.3472791857122,551914.5243731361
3,LH2_Tk_DE;LH2_Tk_ITa;LH2_Tk_NL,38.805565858722005,7.912686524752499,123435.09412664967
3,LH2_Tk_DE;LH2_Tk_ITa;LH2_Tk_PLN,84.35027585895185,71.94637054024555,657034.5243731361
3,LH2_Tk_DE;LH2_Tk_NL;LH2_Tk_PLN,38.805565858722005,7.912686524752499,117562.4464458049
3,LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRW,95.3805380318239,94.96274609148055,826978.5243731361
3,LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_FRn,93.47928160789661,76.36365473694721,721858.5243731361
3,LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_ITa,95.3805380318239,94.96274609148055,826978.5243731361
3,LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_NL,47.93457160766674,8.709459934832198,185231.36583157384
3,LH2_Tk_DEbp;LH2_Tk_FRSW;LH2_Tk_PLN,95.3805380318239,88.10433115449638,788215.5243731361
3,LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_FRn,93.47928160789661,76.36365473694721,721858.5243731361
3,LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_ITa,95.3805380318239,94.96274609148055,826978.5243731361
3,LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_NL,47.93457160766674,8.709459934832198,185231.36583157384
3,LH2_Tk_DEbp;LH2_Tk_FRW;LH2_Tk_PLN,95.3805380318239,88.10433115449638,788215.5243731361
3,LH2_Tk_DEbp;LH2_Tk_FRn;LH2_Tk_ITa,93.47928160789661,76.36365473694721,721858.5243731361
3,LH2_Tk_DEbp;LH2_Tk_FRn;LH2_Tk_NL,47.93457160766674,7.912686524752499,145030.61748580704
3,LH2_Tk_DEbp;LH2_Tk_FRn;LH2_Tk_PLN,93.47928160789661,69.50523979996305,683095.5243731361
3,LH2_Tk_DEbp;LH2_Tk_ITa;LH2_Tk_NL,47.93457160766674,8.709459934832198,185231.36583157384
3,LH2_Tk_DEbp;LH2_Tk_ITa;LH2_Tk_PLN,95.3805380318239,88.10433115449638,788215.5243731361
3,LH2_Tk_DEbp;LH2_Tk_NL;LH2_Tk_PLN,47.93457160766674,7.912686524752532,171559.8200184208
3,LH2_Tk_FRSW;LH2_Tk_FRW;LH2_Tk_FRn,100.0,81.40090864546666,778798.5243731361
