scenario_id,year,level,quantile,eho_industry_twh,eu_coverage_weight,import_share,configuration,served_gwh,target_gwh,unmet_pct
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.1,graph,20926.511679578703,24467.845335627102,14.473418510995483
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.1,topology_free,24467.845335627102,24467.845335627102,0.0
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.1,duplicated_pool,20926.511679578703,24467.845335627102,14.473418510995483
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.1,additive_phases,20926.511679578703,24467.845335627102,14.473418510995483
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.1,advanced_carriers,20926.511679578703,24467.845335627102,14.473418510995483
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.1,conversion_adjusted,20926.511679578703,24467.845335627102,14.473418510995483
2030_PCIPMI_0.5,2030,PCI/PMI,0.5,293.06784807478266,0.9167120919121211,0.1,graph,22977.472178913486,26865.884008081775,14.473418510995506
2030_PCIPMI_0.5,2030,PCI/PMI,0.5,293.06784807478266,0.9167120919121211,0.1,topology_free,26865.88400808177,26865.884008081775,1.1102230246251565e-14
2030_PCIPMI_0.5,2030,PCI/PMI,0.5,293.06784807478266,0.9167120919121211,0.1,duplicated_pool,22977.472178913486,26865.884008081775,14.473418510995506
2030_PCIPMI_0.5,2030,PCI/PMI,0.5,293.06784807478266,0.9167120919121211,0.1,additive_phases,22977.472178913486,26865.884008081775,14.473418510995506
2030_PCIPMI_0.5,2030,PCI/PMI,0.5,293.06784807478266,0.9167120919121211,0.1,advanced_carriers,22977.47217891349,26865.884008081775,14.473418510995495
2030_PCIPMI_0.5,2030,PCI/PMI,0.5,293.06784807478266,0.9167120919121211,0.1,conversion_adjusted,22977.472178913486,26865.884008081775,14.473418510995506
2030_PCIPMI_0.75,2030,PCI/PMI,0.75,396.897,0.9167120919121211,0.1,graph,31118.01528316112,36384.027914364524,14.473418510995495
2030_PCIPMI_0.75,2030,PCI/PMI,0.75,396.897,0.9167120919121211,0.1,topology_free,36384.02791436453,36384.027914364524,-2.220446049250313e-14
2030_PCIPMI_0.75,2030,PCI/PMI,0.75,396.897,0.9167120919121211,0.1,duplicated_pool,31118.01528316112,36384.027914364524,14.473418510995495
2030_PCIPMI_0.75,2030,PCI/PMI,0.75,396.897,0.9167120919121211,0.1,additive_phases,31118.01528316112,36384.027914364524,14.473418510995495
2030_PCIPMI_0.75,2030,PCI/PMI,0.75,396.897,0.9167120919121211,0.1,advanced_carriers,31118.015283161123,36384.027914364524,14.473418510995483
2030_PCIPMI_0.75,2030,PCI/PMI,0.75,396.897,0.9167120919121211,0.1,conversion_adjusted,31118.01528316112,36384.027914364524,14.473418510995495
2030_Advanced_0.25,2030,Advanced,0.25,266.90872250404067,0.9167120919121211,0.1,graph,22531.781434857647,24467.845335627102,7.912686524752521
2030_Advanced_0.25,2030,Advanced,0.25,266.90872250404067,0.9167120919121211,0.1,topology_free,24467.845335627102,24467.845335627102,0.0
2030_Advanced_0.25,2030,Advanced,0.25,266.90872250404067,0.9167120919121211,0.1,duplicated_pool,22531.781434857647,24467.845335627102,7.912686524752521
2030_Advanced_0.25,2030,Advanced,0.25,266.90872250404067,0.9167120919121211,0.1,additive_phases,22531.781434857647,24467.845335627102,7.912686524752521
2030_Advanced_0.25,2030,Advanced,0.25,266.90872250404067,0.9167120919121211,0.1,advanced_carriers,22531.781434857643,24467.845335627102,7.9126865247525435
2030_Advanced_0.25,2030,Advanced,0.25,266.90872250404067,0.9167120919121211,0.1,conversion_adjusted,22531.781434857647,24467.845335627102,7.912686524752521
2030_Advanced_0.5,2030,Advanced,0.5,293.06784807478266,0.9167120919121211,0.1,graph,24740.070824418635,26865.884008081775,7.912686524752566
2030_Advanced_0.5,2030,Advanced,0.5,293.06784807478266,0.9167120919121211,0.1,topology_free,26865.88400808177,26865.884008081775,1.1102230246251565e-14
2030_Advanced_0.5,2030,Advanced,0.5,293.06784807478266,0.9167120919121211,0.1,duplicated_pool,24740.070824418635,26865.884008081775,7.912686524752566
2030_Advanced_0.5,2030,Advanced,0.5,293.06784807478266,0.9167120919121211,0.1,additive_phases,24740.070824418635,26865.884008081775,7.912686524752566
2030_Advanced_0.5,2030,Advanced,0.5,293.06784807478266,0.9167120919121211,0.1,advanced_carriers,24740.070824418635,26865.884008081775,7.912686524752566
2030_Advanced_0.5,2030,Advanced,0.5,293.06784807478266,0.9167120919121211,0.1,conversion_adjusted,24740.070824418635,26865.884008081775,7.912686524752566
2030_Advanced_0.75,2030,Advanced,0.75,396.897,0.9167120919121211,0.1,graph,33505.0738404224,36384.027914364524,7.912686524752532
2030_Advanced_0.75,2030,Advanced,0.75,396.897,0.9167120919121211,0.1,topology_free,36384.02791436453,36384.027914364524,-2.220446049250313e-14
2030_Advanced_0.75,2030,Advanced,0.75,396.897,0.9167120919121211,0.1,duplicated_pool,33505.0738404224,36384.027914364524,7.912686524752532
2030_Advanced_0.75,2030,Advanced,0.75,396.897,0.9167120919121211,0.1,additive_phases,33505.0738404224,36384.027914364524,7.912686524752532
2030_Advanced_0.75,2030,Advanced,0.75,396.897,0.9167120919121211,0.1,advanced_carriers,33505.0738404224,36384.027914364524,7.912686524752532
2030_Advanced_0.75,2030,Advanced,0.75,396.897,0.9167120919121211,0.1,conversion_adjusted,33505.0738404224,36384.027914364524,7.912686524752532
2040_PCIPMI_0.25,2040,PCI/PMI,0.25,379.6612275514279,0.9167120919121211,0.1,graph,30563.40491860415,34804.003812659335,12.18422718512847
2040_PCIPMI_0.25,2040,PCI/PMI,0.25,379.6612275514279,0.9167120919121211,0.1,topology_free,34804.003812659335,34804.003812659335,0.0
2040_PCIPMI_0.25,2040,PCI/PMI,0.25,379.6612275514279,0.9167120919121211,0.1,duplicated_pool,30563.40491860415,34804.003812659335,12.18422718512847
2040_PCIPMI_0.25,2040,PCI/PMI,0.25,379.6612275514279,0.9167120919121211,0.1,additive_phases,30563.40491860415,34804.003812659335,12.18422718512847
2040_PCIPMI_0.25,2040,PCI/PMI,0.25,379.6612275514279,0.9167120919121211,0.1,advanced_carriers,30563.404918604145,34804.003812659335,12.184227185128481
2040_PCIPMI_0.25,2040,PCI/PMI,0.25,379.6612275514279,0.9167120919121211,0.1,conversion_adjusted,30563.40491860415,34804.003812659335,12.18422718512847
2040_PCIPMI_0.5,2040,PCI/PMI,0.5,513.7826313050286,0.9167120919121211,0.1,graph,41360.416764164875,47099.07507317469,12.18422718512846
2040_PCIPMI_0.5,2040,PCI/PMI,0.5,513.7826313050286,0.9167120919121211,0.1,topology_free,47099.075073174696,47099.07507317469,-2.220446049250313e-14
2040_PCIPMI_0.5,2040,PCI/PMI,0.5,513.7826313050286,0.9167120919121211,0.1,duplicated_pool,41360.416764164875,47099.07507317469,12.18422718512846
2040_PCIPMI_0.5,2040,PCI/PMI,0.5,513.7826313050286,0.9167120919121211,0.1,additive_phases,41360.416764164875,47099.07507317469,12.18422718512846
2040_PCIPMI_0.5,2040,PCI/PMI,0.5,513.7826313050286,0.9167120919121211,0.1,advanced_carriers,34383.00000000001,47099.07507317469,26.998566433456627
2040_PCIPMI_0.5,2040,PCI/PMI,0.5,513.7826313050286,0.9167120919121211,0.1,conversion_adjusted,41360.416764164875,47099.07507317469,12.18422718512846
2040_PCIPMI_0.75,2040,PCI/PMI,0.75,560.25,0.9167120919121211,0.1,graph,45101.12269320025,51358.79494937659,12.184227185128504
2040_PCIPMI_0.75,2040,PCI/PMI,0.75,560.25,0.9167120919121211,0.1,topology_free,51358.79494937659,51358.79494937659,0.0
2040_PCIPMI_0.75,2040,PCI/PMI,0.75,560.25,0.9167120919121211,0.1,duplicated_pool,45101.12269320025,51358.79494937659,12.184227185128504
2040_PCIPMI_0.75,2040,PCI/PMI,0.75,560.25,0.9167120919121211,0.1,additive_phases,45101.12269320025,51358.79494937659,12.184227185128504
2040_PCIPMI_0.75,2040,PCI/PMI,0.75,560.25,0.9167120919121211,0.1,advanced_carriers,34383.0,51358.79494937659,33.05333578427866
2040_PCIPMI_0.75,2040,PCI/PMI,0.75,560.25,0.9167120919121211,0.1,conversion_adjusted,45101.12269320025,51358.79494937659,12.184227185128504
2040_Advanced_0.25,2040,Advanced,0.25,379.6612275514279,0.9167120919121211,0.1,graph,32050.072092900686,34804.003812659335,7.912686524752521
2040_Advanced_0.25,2040,Advanced,0.25,379.6612275514279,0.9167120919121211,0.1,topology_free,34804.003812659335,34804.003812659335,0.0
2040_Advanced_0.25,2040,Advanced,0.25,379.6612275514279,0.9167120919121211,0.1,duplicated_pool,32050.072092900686,34804.003812659335,7.912686524752521
2040_Advanced_0.25,2040,Advanced,0.25,379.6612275514279,0.9167120919121211,0.1,additive_phases,32050.072092900686,34804.003812659335,7.912686524752521
2040_Advanced_0.25,2040,Advanced,0.25,379.6612275514279,0.9167120919121211,0.1,advanced_carriers,32050.072092900682,34804.003812659335,7.912686524752532
2040_Advanced_0.25,2040,Advanced,0.25,379.6612275514279,0.9167120919121211,0.1,conversion_adjusted,32050.072092900686,34804.003812659335,7.912686524752521
2040_Advanced_0.5,2040,Advanced,0.5,513.7826313050286,0.9167120919121211,0.1,graph,43372.27290657652,47099.07507317469,7.912686524752521
2040_Advanced_0.5,2040,Advanced,0.5,513.7826313050286,0.9167120919121211,0.1,topology_free,47099.075073174696,47099.07507317469,-2.220446049250313e-14
2040_Advanced_0.5,2040,Advanced,0.5,513.7826313050286,0.9167120919121211,0.1,duplicated_pool,43372.27290657652,47099.07507317469,7.912686524752521
2040_Advanced_0.5,2040,Advanced,0.5,513.7826313050286,0.9167120919121211,0.1,additive_phases,43372.27290657652,47099.07507317469,7.912686524752521
2040_Advanced_0.5,2040,Advanced,0.5,513.7826313050286,0.9167120919121211,0.1,advanced_carriers,40843.5,47099.07507317469,13.28173655948831
2040_Advanced_0.5,2040,Advanced,0.5,513.7826313050286,0.9167120919121211,0.1,conversion_adjusted,43372.27290657652,47099.07507317469,7.912686524752521
2040_Advanced_0.75,2040,Advanced,0.75,560.25,0.9167120919121211,0.1,graph,47294.93450214197,51358.79494937659,7.912686524752555
2040_Advanced_0.75,2040,Advanced,0.75,560.25,0.9167120919121211,0.1,topology_free,51358.79494937659,51358.79494937659,0.0
2040_Advanced_0.75,2040,Advanced,0.75,560.25,0.9167120919121211,0.1,duplicated_pool,47294.93450214197,51358.79494937659,7.912686524752555
2040_Advanced_0.75,2040,Advanced,0.75,560.25,0.9167120919121211,0.1,additive_phases,47294.93450214197,51358.79494937659,7.912686524752555
2040_Advanced_0.75,2040,Advanced,0.75,560.25,0.9167120919121211,0.1,advanced_carriers,40843.50000000001,51358.79494937659,20.4741855017068
2040_Advanced_0.75,2040,Advanced,0.75,560.25,0.9167120919121211,0.1,conversion_adjusted,47294.93450214197,51358.79494937659,7.912686524752555
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.2,graph,41853.0233591574,48935.690671254204,14.473418510995506
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.2,topology_free,48935.69067125422,48935.690671254204,-2.220446049250313e-14
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.2,duplicated_pool,41853.0233591574,48935.690671254204,14.473418510995506
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.2,additive_phases,41853.0233591574,48935.690671254204,14.473418510995506
2030_PCIPMI_0.25,2030,PCI/PMI,0.25,266.90872250404067,0.9167120919121211,0.2,advanced_carriers,33142.0,48935.690671254204,32.27437981279322
