scenario_id,from_node,to_node,capacity_gwh,flow_gwh,kind,source_ref
2030_PCIPMI_0.5,ATh2,IB-ITh2,45990.0,4178.218970290014,backbone,E0009
2030_PCIPMI_0.5,LH2_Tk_BE,BEh2,21644.5,21644.5,terminal_backbone,E0019
2030_PCIPMI_0.5,BEh2,DEh2,33288.0,18653.35479817817,backbone,E0027
2030_PCIPMI_0.5,EEh2,FIh2S,36500.0,2394.3938847641693,backbone,E0069
2030_PCIPMI_0.5,FIh2,FIh2Al,183960.0,1214.7791843811283,backbone,E0075
2030_PCIPMI_0.5,FIh2S,FIh2,3649635.0,1214.7791843810119,backbone,E0085
2030_PCIPMI_0.5,FIh2Al,SEh2,183960.0,1214.7791843811283,backbone,E0091
2030_PCIPMI_0.5,FRh2,FRh2S,70080.0,5712.787762400738,backbone,E0103
2030_PCIPMI_0.5,FRh2S,ESh2,78840.0,5712.787762400738,backbone,E0131
2030_PCIPMI_0.5,DEh2,ATh2,54750.0,5182.704827127251,backbone,E0137
2030_PCIPMI_0.5,DEh2,CZh2,105120.0,736.8397380038514,backbone,E0141
2030_PCIPMI_0.5,DEh2,DKh2,37668.0,194.13310731024103,backbone,E0143
2030_PCIPMI_0.5,DEh2,FRh2,70408.5,9774.017520338864,backbone,E0145
2030_PCIPMI_0.5,LH2_Tk_DE,DEh2,11388.0,11388.0,terminal_backbone,E0153
2030_PCIPMI_0.5,DEh2,PLh2nbc,36500.0,8638.611436262647,backbone,E0163
2030_PCIPMI_0.5,LVh2,EEh2,36500.0,2394.3938847641693,backbone,E0207
2030_PCIPMI_0.5,LTh2,LVh2,36500.0,2394.3938847641693,backbone,E0211
2030_PCIPMI_0.5,NLh2,DEh2,74460.0,5038.524336420116,backbone,E0225
2030_PCIPMI_0.5,LH2_Tk_NL,NLh2,33142.0,12922.444357826982,terminal_backbone,E0227
2030_PCIPMI_0.5,PLh2nbc,LTh2,36500.0,3485.920616384661,backbone,E0247
2030_PCIPMI_0.5,ESh2,PTh2,29565.0,995.0039168911899,backbone,E0325
2030_PCIPMI_0.5,ATh2,DEMAND:Austria,107464.5360323271,1004.4858568372438,country_accounting,
2030_PCIPMI_0.5,DEh2,DEMAND:Germany,107464.5360323271,10553.57250555545,country_accounting,
2030_PCIPMI_0.5,IB-ITh2,DEMAND:Italy,107464.5360323271,4178.218970290007,country_accounting,
2030_PCIPMI_0.5,BEh2,DEMAND:Belgium,107464.5360323271,2991.145201821826,country_accounting,
2030_PCIPMI_0.5,FRh2,DEMAND:France,107464.5360323271,4061.229757938112,country_accounting,
2030_PCIPMI_0.5,NLh2,DEMAND:Netherlands,107464.5360323271,7883.920021406855,country_accounting,
2030_PCIPMI_0.5,CZh2,DEMAND:Czechia,107464.5360323271,736.8397380038514,country_accounting,
2030_PCIPMI_0.5,DKh2,DEMAND:Denmark,107464.5360323271,194.13310731023375,country_accounting,
2030_PCIPMI_0.5,FIh2S,DEMAND:Finland,107464.5360323271,1179.614700383041,country_accounting,
2030_PCIPMI_0.5,SEh2,DEMAND:Sweden,107464.5360323271,1214.7791843811283,country_accounting,
2030_PCIPMI_0.5,ESh2,DEMAND:Spain,107464.5360323271,4717.783845509548,country_accounting,
2030_PCIPMI_0.5,PLh2nbc,DEMAND:Poland,107464.5360323271,5152.690819877986,country_accounting,
