scenario_id,from_node,to_node,capacity_gwh,kind,source_ref
2030_Advanced_0.5,DEMAND:Romania,SINK,899.2527082136692,demand,Romania
2030_Advanced_0.5,DEMAND:Slovakia,SINK,1230.0229726609914,demand,Slovakia
2030_Advanced_0.5,DEMAND:Spain,SINK,4717.783845509556,demand,Spain
2030_Advanced_0.5,DEMAND:Sweden,SINK,1214.7791843811233,demand,Sweden
2030_Advanced_0.75,DEMAND:Austria,SINK,1360.3587897482344,demand,Austria
2030_Advanced_0.75,DEMAND:Belgium,SINK,4050.8590927536416,demand,Belgium
2030_Advanced_0.75,DEMAND:Czechia,SINK,997.890022449309,demand,Czechia
2030_Advanced_0.75,DEMAND:Denmark,SINK,262.91129647374447,demand,Denmark
2030_Advanced_0.75,DEMAND:Finland,SINK,1597.5329222005346,demand,Finland
2030_Advanced_0.75,DEMAND:France,SINK,5500.05712951853,demand,France
2030_Advanced_0.75,DEMAND:Germany,SINK,14292.530873835765,demand,Germany
2030_Advanced_0.75,DEMAND:Hungary,SINK,1890.4738371594708,demand,Hungary
2030_Advanced_0.75,DEMAND:Italy,SINK,5658.49370903368,demand,Italy
2030_Advanced_0.75,DEMAND:Lithuania,SINK,1478.2368248373398,demand,Lithuania
2030_Advanced_0.75,DEMAND:Netherlands,SINK,10677.064117718775,demand,Netherlands
2030_Advanced_0.75,DEMAND:Poland,SINK,6978.205018979987,demand,Poland
2030_Advanced_0.75,DEMAND:Portugal,SINK,1347.5175533468696,demand,Portugal
2030_Advanced_0.75,DEMAND:Romania,SINK,1217.8432553297594,demand,Romania
2030_Advanced_0.75,DEMAND:Slovakia,SINK,1665.8000220333163,demand,Slovakia
2030_Advanced_0.75,DEMAND:Spain,SINK,6389.217606884682,demand,Spain
2030_Advanced_0.75,DEMAND:Sweden,SINK,1645.1556085411514,demand,Sweden
2040_PCIPMI_0.25,DEMAND:Austria,SINK,1301.283426244566,demand,Austria
2040_PCIPMI_0.25,DEMAND:Belgium,SINK,3874.9452270808574,demand,Belgium
2040_PCIPMI_0.25,DEMAND:Czechia,SINK,954.555340263158,demand,Czechia
2040_PCIPMI_0.25,DEMAND:Denmark,SINK,251.49402881946506,demand,Denmark
2040_PCIPMI_0.25,DEMAND:Finland,SINK,1528.157961124611,demand,Finland
2040_PCIPMI_0.25,DEMAND:France,SINK,5261.209939596389,demand,France
2040_PCIPMI_0.25,DEMAND:Germany,SINK,13671.858987034846,demand,Germany
2040_PCIPMI_0.25,DEMAND:Italy,SINK,5412.766202979008,demand,Italy
2040_PCIPMI_0.25,DEMAND:Lithuania,SINK,1414.0424531540161,demand,Lithuania
2040_PCIPMI_0.25,DEMAND:Netherlands,SINK,10213.398613691748,demand,Netherlands
2040_PCIPMI_0.25,DEMAND:Poland,SINK,6675.167319509789,demand,Poland
2040_PCIPMI_0.25,DEMAND:Portugal,SINK,1288.9998373652843,demand,Portugal
2040_PCIPMI_0.25,DEMAND:Slovakia,SINK,1593.4604726676305,demand,Slovakia
2040_PCIPMI_0.25,DEMAND:Spain,SINK,6111.757457786364,demand,Spain
2040_PCIPMI_0.25,DEMAND:Sweden,SINK,1573.7125698905506,demand,Sweden
2040_PCIPMI_0.5,DEMAND:Austria,SINK,1760.982618955981,demand,Austria
2040_PCIPMI_0.5,DEMAND:Belgium,SINK,5243.83163319669,demand,Belgium
2040_PCIPMI_0.5,DEMAND:Czechia,SINK,1291.7672884578114,demand,Czechia
2040_PCIPMI_0.5,DEMAND:Denmark,SINK,340.3383187630466,demand,Denmark
2040_PCIPMI_0.5,DEMAND:Finland,SINK,2068.0042135984954,demand,Finland
2040_PCIPMI_0.5,DEMAND:France,SINK,7119.816537620623,demand,France
2040_PCIPMI_0.5,DEMAND:Germany,SINK,18501.661943445528,demand,Germany
2040_PCIPMI_0.5,DEMAND:Italy,SINK,7324.912476159494,demand,Italy
2040_PCIPMI_0.5,DEMAND:Lithuania,SINK,1913.5755764264256,demand,Lithuania
2040_PCIPMI_0.5,DEMAND:Netherlands,SINK,13821.445102921049,demand,Netherlands
2040_PCIPMI_0.5,DEMAND:Poland,SINK,9033.276987322894,demand,Poland
2040_PCIPMI_0.5,DEMAND:Portugal,SINK,1744.359655750154,demand,Portugal
2040_PCIPMI_0.5,DEMAND:Slovakia,SINK,2156.375882277396,demand,Slovakia
2040_PCIPMI_0.5,DEMAND:Spain,SINK,8270.833576584428,demand,Spain
2040_PCIPMI_0.5,DEMAND:Sweden,SINK,2129.651716849707,demand,Sweden
2040_PCIPMI_0.75,DEMAND:Austria,SINK,1920.2488604258745,demand,Austria
2040_PCIPMI_0.75,DEMAND:Belgium,SINK,5718.092620289968,demand,Belgium
2040_PCIPMI_0.75,DEMAND:Czechia,SINK,1408.5969031693999,demand,Czechia
2040_PCIPMI_0.75,DEMAND:Denmark,SINK,371.11909097175163,demand,Denmark
2040_PCIPMI_0.75,DEMAND:Finland,SINK,2255.038006492489,demand,Finland
2040_PCIPMI_0.75,DEMAND:France,SINK,7763.744767062377,demand,France
2040_PCIPMI_0.75,DEMAND:Germany,SINK,20174.983489586688,demand,Germany
2040_PCIPMI_0.75,DEMAND:Italy,SINK,7987.389928586305,demand,Italy
2040_PCIPMI_0.75,DEMAND:Lithuania,SINK,2086.642582622493,demand,Lithuania
2040_PCIPMI_0.75,DEMAND:Netherlands,SINK,15071.47993547934,demand,Netherlands
2040_PCIPMI_0.75,DEMAND:Poland,SINK,9850.26181070539,demand,Poland
2040_PCIPMI_0.75,DEMAND:Portugal,SINK,1902.122488359911,demand,Portugal
2040_PCIPMI_0.75,DEMAND:Slovakia,SINK,2351.4021581018887,demand,Slovakia
2040_PCIPMI_0.75,DEMAND:Spain,SINK,9018.861730517345,demand,Spain
2040_PCIPMI_0.75,DEMAND:Sweden,SINK,2322.2610140292823,demand,Sweden
2040_Advanced_0.25,DEMAND:Austria,SINK,1301.283426244566,demand,Austria
2040_Advanced_0.25,DEMAND:Belgium,SINK,3874.9452270808574,demand,Belgium
