scenario_id,import_share,version,served_gwh,target_gwh,unmet_pct
2030_PCIPMI_0.25,0.2,frozen_2024,41853.0233591574,48935.690671254204,14.473418510995506
2030_PCIPMI_0.25,0.2,matched_2026_carriers_2024_network,37551.200000000004,48935.690671254204,23.2641871711472
2030_PCIPMI_0.5,0.2,frozen_2024,45954.944357826986,53731.76801616355,14.473418510995483
2030_PCIPMI_0.5,0.2,matched_2026_carriers_2024_network,37551.200000000004,53731.76801616355,30.113596878658676
2030_PCIPMI_0.75,0.2,frozen_2024,62236.03056632223,72768.05582872905,14.473418510995506
2030_PCIPMI_0.75,0.2,matched_2026_carriers_2024_network,37551.2,72768.05582872905,48.39603783233869
2030_Advanced_0.25,0.2,frozen_2024,45063.562869715286,48935.690671254204,7.9126865247525435
2030_Advanced_0.25,0.2,matched_2026_carriers_2024_network,44011.700000000004,48935.690671254204,10.062166495887737
2030_Advanced_0.5,0.2,frozen_2024,49480.14164883727,53731.76801616355,7.912686524752566
2030_Advanced_0.5,0.2,matched_2026_carriers_2024_network,44011.7,53731.76801616355,18.089983588925584
2030_Advanced_0.75,0.2,frozen_2024,67010.14768084479,72768.05582872905,7.912686524752555
2030_Advanced_0.75,0.2,matched_2026_carriers_2024_network,44011.700000000004,72768.05582872905,39.517828944628675
2040_PCIPMI_0.25,0.2,frozen_2024,61126.80983720829,69608.00762531867,12.184227185128481
2040_PCIPMI_0.25,0.2,matched_2026_carriers_2024_network,61126.80983720829,69608.00762531867,12.184227185128481
2040_PCIPMI_0.5,0.2,frozen_2024,82720.83352832975,94198.15014634938,12.18422718512846
2040_PCIPMI_0.5,0.2,matched_2026_carriers_2024_network,82720.83352832975,94198.15014634938,12.18422718512846
2040_PCIPMI_0.75,0.2,frozen_2024,90202.24538640048,102717.58989875318,12.184227185128515
2040_PCIPMI_0.75,0.2,matched_2026_carriers_2024_network,90202.24538640048,102717.58989875318,12.184227185128515
2040_Advanced_0.25,0.2,frozen_2024,64100.14418580137,69608.00762531867,7.912686524752521
2040_Advanced_0.25,0.2,matched_2026_carriers_2024_network,64100.14418580137,69608.00762531867,7.912686524752521
2040_Advanced_0.5,0.2,frozen_2024,86744.54581315305,94198.15014634938,7.912686524752521
2040_Advanced_0.5,0.2,matched_2026_carriers_2024_network,86744.54581315305,94198.15014634938,7.912686524752521
2040_Advanced_0.75,0.2,frozen_2024,94589.86900428394,102717.58989875318,7.912686524752555
2040_Advanced_0.75,0.2,matched_2026_carriers_2024_network,94589.86900428394,102717.58989875318,7.912686524752555
2030_PCIPMI_0.25,1.0,frozen_2024,70919.5,244678.453356271,71.01522466437385
2030_PCIPMI_0.25,1.0,matched_2026_carriers_2024_network,37551.2,244678.453356271,84.65283743422944
2030_PCIPMI_0.5,1.0,frozen_2024,70919.5,268658.84008081775,73.60239477745603
2030_PCIPMI_0.5,1.0,matched_2026_carriers_2024_network,37551.200000000004,268658.84008081775,86.02271937573174
2030_PCIPMI_0.75,1.0,frozen_2024,70919.5,363840.2791436452,80.50806794483555
2030_PCIPMI_0.75,1.0,matched_2026_carriers_2024_network,37551.200000000004,363840.2791436452,89.67920756646774
2030_Advanced_0.25,1.0,frozen_2024,93987.50000000001,244678.453356271,61.58734097311509
2030_Advanced_0.25,1.0,matched_2026_carriers_2024_network,44011.7,244678.453356271,82.01243329917754
2030_Advanced_0.5,1.0,frozen_2024,93987.5,268658.84008081775,65.0160404281777
2030_Advanced_0.5,1.0,matched_2026_carriers_2024_network,44011.700000000004,268658.84008081775,83.61799671778512
2030_Advanced_0.75,1.0,frozen_2024,93987.5,363840.2791436452,74.16792329282117
2030_Advanced_0.75,1.0,matched_2026_carriers_2024_network,44011.700000000004,363840.2791436452,87.90356578892573
2040_PCIPMI_0.25,1.0,frozen_2024,177536.0,348040.03812659334,48.989776878651966
2040_PCIPMI_0.25,1.0,matched_2026_carriers_2024_network,146142.35,348040.03812659334,58.00990288742489
2040_PCIPMI_0.5,1.0,frozen_2024,177536.0,470990.7507317469,62.30584152147911
2040_PCIPMI_0.5,1.0,matched_2026_carriers_2024_network,146142.35,470990.7507317469,68.97129088565998
2040_PCIPMI_0.75,1.0,frozen_2024,177536.0,513587.9494937659,65.43221074890991
2040_PCIPMI_0.75,1.0,matched_2026_carriers_2024_network,146142.35,513587.9494937659,71.54482496249186
2040_Advanced_0.25,1.0,frozen_2024,200604.00000000003,348040.03812659334,42.361803808608386
2040_Advanced_0.25,1.0,matched_2026_carriers_2024_network,152602.85,348040.03812659334,56.15365093584622
2040_Advanced_0.5,1.0,frozen_2024,200604.0,470990.7507317469,57.408080798118654
2040_Advanced_0.5,1.0,matched_2026_carriers_2024_network,152602.85,470990.7507317469,67.59960789826316
2040_Advanced_0.75,1.0,frozen_2024,200604.0,513587.9494937659,60.94067234292946
2040_Advanced_0.75,1.0,matched_2026_carriers_2024_network,152602.85,513587.9494937659,70.28690993423467
