scenario_id,year,demand_level,quantile,eho_europe_industry_twh,study_inventory_target_twh,plant_inventory_coverage_share_2024,admitted_reachable_inventory_coverage_share_2024,allocation_rule,source_id,traceable
D2030_low,2030,low,0.25,266.90872250404067,100.49154921819374,0.3945852866046736,0.3765015555708279,"Allocate the EHO industrial scenario to the explicitly reachable coordinate inventory in proportion to 2024 EHO plant-level hydrogen consumption. This is a scenario allocation, not a plant forecast.",EHO_DEMAND_2024_UPDATE;EHO_DEMAND_FORECASTS_2023,True
D2030_medium,2030,medium,0.5,293.06784807478266,110.34050068795072,0.3945852866046736,0.3765015555708279,"Allocate the EHO industrial scenario to the explicitly reachable coordinate inventory in proportion to 2024 EHO plant-level hydrogen consumption. This is a scenario allocation, not a plant forecast.",EHO_DEMAND_2024_UPDATE;EHO_DEMAND_FORECASTS_2023,True
D2030_high,2030,high,0.75,396.897,149.43233790139487,0.3945852866046736,0.3765015555708279,"Allocate the EHO industrial scenario to the explicitly reachable coordinate inventory in proportion to 2024 EHO plant-level hydrogen consumption. This is a scenario allocation, not a plant forecast.",EHO_DEMAND_2024_UPDATE;EHO_DEMAND_FORECASTS_2023,True
D2040_low,2040,low,0.25,379.6612275514279,142.94304276304265,0.3945852866046736,0.3765015555708279,"Allocate the EHO industrial scenario to the explicitly reachable coordinate inventory in proportion to 2024 EHO plant-level hydrogen consumption. This is a scenario allocation, not a plant forecast.",EHO_DEMAND_2024_UPDATE;EHO_DEMAND_FORECASTS_2023,True
D2040_medium,2040,medium,0.5,513.7826313050286,193.4399599116164,0.3945852866046736,0.3765015555708279,"Allocate the EHO industrial scenario to the explicitly reachable coordinate inventory in proportion to 2024 EHO plant-level hydrogen consumption. This is a scenario allocation, not a plant forecast.",EHO_DEMAND_2024_UPDATE;EHO_DEMAND_FORECASTS_2023,True
D2040_high,2040,high,0.75,560.25,210.9349965085563,0.3945852866046736,0.3765015555708279,"Allocate the EHO industrial scenario to the explicitly reachable coordinate inventory in proportion to 2024 EHO plant-level hydrogen consumption. This is a scenario allocation, not a plant forecast.",EHO_DEMAND_2024_UPDATE;EHO_DEMAND_FORECASTS_2023,True
