scenario_label,scenario_id,year,level,demand_level,failure_count,unmet_gwh,total_demand_gwh,served_gwh,demand_cut_rate_pct,method
S2030_Advanced_high__fail__LH2_Tk_FRn|FRh2N,S2030_Advanced_high,2030,Advanced,high,1,66650.33790139484,149432.33790139484,82782.0,44.60235236724668,robust_n1
S2040_PCIPMI_low__fail__LH2_Tk_FRn|FRh2N,S2040_PCIPMI_low,2040,PCI/PMI,low,1,0.0,142943.0427630426,142943.0427630426,0.0,robust_n1
S2040_PCIPMI_medium__fail__LH2_Tk_FRn|FRh2N,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,38168.95991161635,193439.95991161634,155271.0,19.731683117105657,robust_n1
S2040_PCIPMI_high__fail__LH2_Tk_FRn|FRh2N,S2040_PCIPMI_high,2040,PCI/PMI,high,1,55663.996508556265,210934.99650855624,155270.99999999997,26.389170801393476,robust_n1
S2040_Advanced_low__fail__LH2_Tk_FRn|FRh2N,S2040_Advanced_low,2040,Advanced,low,1,0.0,142943.0427630426,142943.0427630426,0.0,robust_n1
S2040_Advanced_medium__fail__LH2_Tk_FRn|FRh2N,S2040_Advanced_medium,2040,Advanced,medium,1,21561.459911616377,193439.95991161634,171878.49999999997,11.1463318755173,robust_n1
S2040_Advanced_high__fail__LH2_Tk_FRn|FRh2N,S2040_Advanced_high,2040,Advanced,high,1,39056.496508556265,210934.99650855624,171878.49999999997,18.515892172957653,robust_n1
S2030_PCIPMI_low__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,55961.54921819372,100491.54921819372,44529.99999999999,55.68781619306755,robust_n1
S2030_PCIPMI_medium__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,65810.5006879507,110340.5006879507,44530.0,59.643105004631614,robust_n1
S2030_PCIPMI_high__fail__LH2_Tk_BE|BEh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,104902.33790139484,149432.33790139484,44530.0,70.20055991536198,robust_n1
S2030_Advanced_low__fail__LH2_Tk_BE|BEh2,S2030_Advanced_low,2030,Advanced,low,1,39354.04921819371,100491.54921819372,61137.50000000001,39.16155092080993,robust_n1
S2030_Advanced_medium__fail__LH2_Tk_BE|BEh2,S2030_Advanced_medium,2030,Advanced,medium,1,49203.0006879507,110340.5006879507,61137.5,44.59196793668684,robust_n1
S2030_Advanced_high__fail__LH2_Tk_BE|BEh2,S2030_Advanced_high,2030,Advanced,high,1,88294.83790139484,149432.33790139484,61137.5,59.086834310025665,robust_n1
S2040_PCIPMI_low__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,40816.042763042606,142943.0427630426,102127.0,28.554060396422063,robust_n1
S2040_PCIPMI_medium__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,91312.95991161636,193439.95991161634,102126.99999999999,47.20480709018844,robust_n1
S2040_PCIPMI_high__fail__LH2_Tk_BE|BEh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,108807.99650855624,210934.99650855624,102127.0,51.58366241238809,robust_n1
S2040_Advanced_low__fail__LH2_Tk_BE|BEh2,S2040_Advanced_low,2040,Advanced,low,1,24208.542763042606,142943.0427630426,118734.5,16.935796450879547,robust_n1
S2040_Advanced_medium__fail__LH2_Tk_BE|BEh2,S2040_Advanced_medium,2040,Advanced,medium,1,74705.45991161637,193439.95991161634,118734.49999999997,38.61945584860008,robust_n1
S2040_Advanced_high__fail__LH2_Tk_BE|BEh2,S2040_Advanced_high,2040,Advanced,high,1,92200.49650855626,210934.99650855624,118734.49999999999,43.71038378395227,robust_n1
S2030_PCIPMI_low__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,45705.049218193715,100491.54921819372,54786.5,45.481485332618334,robust_n1
S2030_PCIPMI_medium__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,55554.0006879507,110340.5006879507,54786.5,50.347787386845944,robust_n1
S2030_PCIPMI_high__fail__LH2_Tk_DE|DEh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,94645.83790139484,149432.33790139484,54786.5,63.33691838767076,robust_n1
S2030_Advanced_low__fail__LH2_Tk_DE|DEh2,S2030_Advanced_low,2030,Advanced,low,1,29097.549218193715,100491.54921819372,71394.0,28.955220060360745,robust_n1
