method,k,failure_scenarios,worst_dcr_pct,mean_dcr_pct,total_unmet_gwh
robust_n1,0,0,55.716077972582994,21.51254993663125,358030.1884554237
robust_n1,1,48,77.89467764213327,35.446232356786226,3096011.11332929
robust_n1,2,72,92.37915958491224,53.318294237637865,6657674.789581436
deterministic_central,0,0,55.716077972582994,21.51254993663125,358030.1884554237
deterministic_central,1,48,77.89467764213327,35.446232356786226,3096011.11332929
deterministic_central,2,72,92.37915958491224,53.318294237637865,6657674.789581436
