draw,seed,selection,worst_dcr_pct,mean_dcr_pct,total_unmet_gwh
27,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2,77.89467764213327,60.311209474445185,1073192.773981509
28,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2,55.716077972582994,24.406374968723412,428110.1884554237
29,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_PLN|PLh2N,77.89467764213327,58.01708129647529,1034429.773981509
30,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,77.89467764213327,55.37461275962028,968072.773981509
31,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,55.716077972582994,21.51254993663125,358030.1884554237
32,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,77.89467764213327,53.080484581650374,929309.773981509
33,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,55.716077972582994,24.406374968723412,428110.1884554237
34,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,77.89467764213327,58.01708129647529,1034429.773981509
35,20260907,LH2_Tk_BE|BEh2;LH2_Tk_DE|DEh2;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,55.716077972582994,22.488882819757368,395807.68845542375
36,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N,85.51551805722103,65.87926215014156,1156193.7739815088
37,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2,85.51551805722103,70.81585886496646,1261313.7739815088
38,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2,63.33691838767076,33.02837139174475,583937.7312184663
39,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_PLN|PLh2N,85.51551805722103,68.52173068699655,1222550.7739815088
40,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,85.51551805722103,65.87926215014156,1156193.7739815088
41,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,63.33691838767076,29.68929076370499,506220.18845542363
42,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,85.51551805722103,63.58513397217164,1117430.7739815088
43,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,63.33691838767076,33.02837139174475,583937.7312184663
44,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,85.51551805722103,68.52173068699655,1222550.7739815088
45,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,63.33691838767076,31.110879242778704,551635.2312184663
46,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,85.51551805722103,65.87926215014156,1156193.7739815088
47,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,63.33691838767076,29.68929076370499,506220.18845542363
48,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,85.51551805722103,63.58513397217164,1117430.7739815088
49,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,63.33691838767076,33.02837139174475,583937.7312184663
50,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,85.51551805722103,68.52173068699655,1222550.7739815088
51,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,63.33691838767076,31.110879242778704,551635.2312184663
52,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,63.33691838767076,29.68929076370499,506220.18845542363
53,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,85.51551805722103,63.58513397217164,1117430.7739815088
54,20260907,LH2_Tk_BE|BEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,63.33691838767076,27.771798614738938,473917.6884554237
55,20260907,LH2_Tk_BE|BEh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,63.33691838767076,31.110879242778704,551635.2312184663
56,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2,92.37915958491224,87.8103977104048,1598573.7739815088
57,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N,92.37915958491224,82.87380099557988,1493453.7739815086
58,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2,92.37915958491224,87.8103977104048,1598573.7739815088
59,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_NL|NLh2,70.20055991536196,49.49997717100215,912227.7739815089
60,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_PLN|PLh2N,92.37915958491224,85.51626953243489,1559810.7739815088
61,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N,92.37915958491224,82.87380099557988,1493453.7739815086
62,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2,92.37915958491224,87.8103977104048,1598573.7739815088
63,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2,70.20055991536196,49.49997717100215,912227.7739815089
64,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_PLN|PLh2N,92.37915958491224,85.51626953243489,1559810.7739815088
65,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,92.37915958491224,82.87380099557988,1493453.7739815086
66,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,70.20055991536198,44.563380456177235,807107.773981509
67,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,92.37915958491224,80.57967281760997,1454690.7739815088
68,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,70.20055991536196,49.49997717100215,912227.7739815089
69,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,92.37915958491224,85.51626953243489,1559810.7739815088
70,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_DE|DEh2;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,70.20055991536198,47.205848993032255,873464.7739815091
71,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N,100.0,93.37845038610114,1681574.7739815086
72,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2,100.0,98.31504710092607,1786694.7739815088
73,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2,77.82140033044973,60.0046265615234,1100348.7739815088
74,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_PLN|PLh2N,100.0,96.02091892295617,1747931.7739815088
75,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,100.0,93.37845038610114,1681574.7739815086
76,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,77.82140033044973,55.0680298466985,995228.7739815089
77,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,100.0,91.08432220813125,1642811.7739815088
78,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,77.82140033044973,60.0046265615234,1100348.7739815088
79,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,100.0,96.02091892295617,1747931.7739815088
80,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRSW|FRh2SW;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,77.82140033044973,57.7104983835535,1061585.7739815088
81,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,100.0,93.37845038610114,1681574.7739815086
82,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,77.82140033044973,55.0680298466985,995228.7739815089
83,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,100.0,91.08432220813125,1642811.7739815088
84,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,77.82140033044973,60.0046265615234,1100348.7739815088
85,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,100.0,96.02091892295617,1747931.7739815088
86,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,77.82140033044973,57.7104983835535,1061585.7739815088
87,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,77.82140033044973,55.0680298466985,995228.7739815089
88,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,100.0,91.08432220813125,1642811.7739815088
89,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,77.82140033044973,52.773901668728605,956465.7739815089
90,20260907,LH2_Tk_DEbp|DEh2bp;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,77.82140033044973,57.7104983835535,1061585.7739815088
