scenario_label,scenario_id,year,level,demand_level,failure_count,edge_id,edge_type,from_node,to_node,candidate_key,carrier,flow_gwh,capacity_gwh,utilisation_pct
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0087,backbone,FIh2Al,DEh2,,NH3_cracked_to_H2,-0.0,95630.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0087,backbone,FIh2Al,DEh2,,LOHC_to_H2,-0.0,95630.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0091,backbone,FIh2Al,SEh2,,NH3_cracked_to_H2,0.0,183960.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0091,backbone,FIh2Al,SEh2,,LOHC_to_H2,0.0,183960.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0093,backbone,FIh2N,SEh2,,NH3_cracked_to_H2,-0.0,59130.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0093,backbone,FIh2N,SEh2,,LOHC_to_H2,-0.0,59130.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0099,backbone,FRh2Va,BEH2Mo,,NH3_cracked_to_H2,0.0,8760.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0099,backbone,FRh2Va,BEH2Mo,,LOHC_to_H2,0.0,8760.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0103,backbone,FRh2,FRh2S,,NH3_cracked_to_H2,0.0,70080.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0103,backbone,FRh2,FRh2S,,LOHC_to_H2,-0.0,70080.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0107,backbone,FRh2,FRh2Va,,NH3_cracked_to_H2,3574.9758430613365,8760.0,40.81022651896503
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0107,backbone,FRh2,FRh2Va,,LOHC_to_H2,-0.0,8760.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0111,backbone,FRh2S,FRh2,,NH3_cracked_to_H2,0.0,70080.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0111,backbone,FRh2S,FRh2,,LOHC_to_H2,0.0,70080.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0119,backbone,FRh2Va,FRh2,,NH3_cracked_to_H2,0.0,8760.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0119,backbone,FRh2Va,FRh2,,LOHC_to_H2,0.0,8760.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0127,backbone,FRh2,DEh2,,NH3_cracked_to_H2,0.0,76467.5,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0127,backbone,FRh2,DEh2,,LOHC_to_H2,0.0,76467.5,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0131,backbone,FRh2S,ESh2,,NH3_cracked_to_H2,-0.0,78840.0,-0.0
