method,k,failure_scenarios,worst_dcr_pct,mean_dcr_pct,total_unmet_gwh
robust_n1,0,0,55.716077972582994,18.495354840366023,309166.72854380734
robust_n1,1,72,77.89467764213327,28.49113786314988,3463782.1105052875
robust_n1,2,180,92.37915958491224,41.58310071944464,11804089.867872974
deterministic_central,0,0,55.716077972582994,18.495354840366023,309166.72854380734
deterministic_central,1,72,77.89467764213327,28.49113786314988,3463782.1105052875
deterministic_central,2,180,92.37915958491224,41.58310071944464,11804089.867872974
